,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
1725,Economy Class,2,1,1,2,4,1,1,0
1726,First Class,5,3,1,3,2,1,1,0
1727,Premium Economy,5,4,4,5,3,4,1,1
1728,Premium Economy,5,5,4,5,5,5,1,1
1729,Economy Class,1,2,1,3,1,1,1,0
1730,First Class,4,4,1,4,1,2,1,0
1731,Economy Class,3,4,3,4,2,3,1,1
1732,Business Class,1,2,1,3,3,1,1,0
1733,First Class,5,5,4,4,5,4,1,1
1734,Economy Class,2,2,2,1,1,4,1,0
1735,First Class,5,5,4,4,4,4,1,1
1736,Economy Class,3,5,2,3,5,3,1,1
1737,Economy Class,5,2,1,3,1,2,1,0
1738,Economy Class,3,3,1,1,2,2,1,0
1739,Economy Class,5,5,5,3,5,5,1,1
1740,First Class,3,4,2,3,2,2,1,0
1741,First Class,3,4,1,3,2,2,1,0
1742,Business Class,2,2,3,3,3,3,1,1
1743,Premium Economy,2,2,1,1,2,2,1,0
1744,Premium Economy,1,1,1,3,1,1,1,0
1745,Economy Class,5,5,4,3,5,3,1,1
1746,Economy Class,1,1,3,2,1,3,1,0
1747,First Class,5,5,5,5,4,5,1,1
1748,Premium Economy,2,1,1,1,3,1,1,0
1749,Economy Class,3,5,1,3,5,1,1,0
1750,First Class,3,4,3,3,4,3,1,1
1751,Economy Class,1,1,2,1,3,2,1,0
1752,Economy Class,2,2,1,1,2,1,1,0
1753,Business Class,1,1,1,1,1,1,1,0
1754,Economy Class,3,4,1,3,3,3,1,1
1755,Business Class,2,5,1,3,4,2,1,0
1756,Economy Class,4,5,4,4,4,4,1,1
1757,Premium Economy,2,2,1,2,5,1,1,0
1758,Economy Class,2,3,2,4,4,2,3,0
1759,Economy Class,3,4,3,3,4,4,1,1
1760,Economy Class,3,4,2,1,3,1,1,0
1761,Economy Class,2,3,2,3,1,3,1,0
1762,Business Class,2,4,1,3,2,1,1,0
1763,Economy Class,4,5,5,5,4,4,1,1
1764,Economy Class,4,5,4,4,3,5,1,1
1765,Business Class,3,3,2,1,3,2,1,0
1766,Business Class,5,5,5,5,5,5,1,1
1767,Economy Class,3,2,1,2,2,2,1,0
1768,Economy Class,3,4,1,3,2,3,1,1
1769,Premium Economy,4,5,4,1,5,4,1,1
1770,Economy Class,5,5,4,5,5,5,1,1
1771,Economy Class,3,5,3,3,5,5,1,1
1772,Premium Economy,3,1,2,2,2,3,1,0
1773,Business Class,1,1,1,1,1,1,1,0
1774,Economy Class,3,5,1,3,3,1,1,0
1775,Business Class,3,5,3,3,1,3,1,1
1776,Business Class,3,3,2,3,3,3,1,0
1777,Business Class,1,4,2,3,1,1,1,0
1778,Premium Economy,3,4,3,2,1,2,1,0
1779,Business Class,5,3,4,2,5,4,1,1
1780,Premium Economy,2,2,1,3,3,2,1,0
1781,First Class,4,4,3,4,4,4,3,1
1782,Economy Class,2,1,1,1,1,1,1,0
1783,Economy Class,1,1,2,1,2,1,1,0
1784,First Class,4,4,3,3,1,1,1,0
1785,Economy Class,1,1,1,3,3,1,1,0
1786,First Class,3,4,2,3,4,1,1,0
1787,Economy Class,2,2,3,1,3,2,1,0
1788,Business Class,1,1,3,3,1,1,1,0
1789,Premium Economy,2,1,1,2,2,1,1,0
1790,Business Class,1,3,1,1,1,1,1,0
1791,Economy Class,3,3,2,3,3,3,1,0
1792,First Class,4,1,1,1,2,2,1,0
1793,Economy Class,5,5,5,3,5,5,1,1
1794,Economy Class,1,4,4,5,3,3,4,0
1795,Economy Class,3,1,1,3,1,2,1,0
1796,Economy Class,1,2,1,1,2,2,2,0
1797,Economy Class,1,1,1,3,1,1,1,0
1798,First Class,2,4,4,3,2,3,1,0
1799,Economy Class,2,4,1,3,4,1,1,0
1800,Business Class,3,4,2,3,4,2,1,0
1801,Economy Class,2,4,1,1,2,2,1,0
1802,Business Class,2,5,5,3,1,1,1,0
1803,Economy Class,4,2,3,3,2,3,1,0
1804,Economy Class,3,3,2,3,1,1,1,0
1805,Economy Class,3,2,1,1,3,3,1,1
1806,First Class,4,4,2,2,1,1,1,0
1807,Economy Class,2,2,2,1,4,1,1,0
1808,Economy Class,4,5,4,4,2,4,1,1
1809,Economy Class,5,5,4,3,4,5,1,1
1810,Premium Economy,3,4,1,1,4,3,1,0
1811,Premium Economy,3,2,3,3,2,3,1,0
1812,Economy Class,3,4,2,5,1,4,1,1
1813,Economy Class,3,2,3,4,2,2,1,0
1814,Business Class,1,2,1,1,3,2,1,0
1815,Economy Class,3,4,3,3,3,3,1,1
1816,Economy Class,3,1,1,2,3,2,1,0
1817,Business Class,1,1,1,3,4,3,1,0
1818,Economy Class,3,3,3,1,1,1,1,0
1819,Economy Class,3,3,3,1,2,2,1,0
1820,First Class,4,5,4,3,4,4,1,1
1821,Economy Class,1,3,1,1,3,3,1,0
1822,Business Class,3,3,2,3,5,3,1,0
1823,First Class,3,4,4,4,5,4,1,1
1824,Business Class,3,4,3,3,5,4,1,1
1825,Premium Economy,4,3,3,4,1,4,1,1
1826,Economy Class,4,4,2,3,3,4,1,1
1827,Business Class,2,2,3,2,3,3,1,0
1828,Business Class,2,5,4,4,3,4,1,1
1829,Economy Class,3,5,3,3,4,4,1,1
1830,Economy Class,4,5,3,4,4,5,1,1
1831,Premium Economy,2,5,1,1,1,1,1,0
1832,Economy Class,1,2,1,4,1,1,1,0
1833,Premium Economy,4,4,4,4,3,4,1,1
1834,Premium Economy,2,2,1,1,3,2,1,0
1835,Economy Class,3,2,3,2,3,2,1,1
1836,Economy Class,2,1,2,3,1,3,1,0
1837,Economy Class,2,5,1,3,2,3,1,0
1838,Economy Class,2,1,1,3,1,1,1,0
1839,Business Class,4,5,4,3,5,4,1,1
1840,Economy Class,3,4,1,4,1,2,1,0
1841,Economy Class,2,1,1,3,1,1,1,0
1842,Business Class,1,1,1,3,3,1,1,0
1843,Economy Class,3,4,3,1,2,2,1,0
1844,Business Class,4,5,4,2,4,4,1,1
1845,Economy Class,2,3,2,1,3,2,1,0
1846,First Class,1,1,1,1,1,1,1,0
1847,Business Class,1,2,1,3,1,1,1,0
1848,Economy Class,1,3,4,1,4,2,1,0
1849,Economy Class,3,4,4,2,5,4,1,1
1850,Economy Class,2,3,3,2,2,4,1,0
1851,Economy Class,1,1,1,2,2,1,1,0
1852,Economy Class,2,3,1,3,2,2,1,0
1853,Economy Class,3,4,1,1,3,3,1,1
1854,Business Class,3,3,1,3,2,2,1,0
1855,First Class,3,4,2,2,1,1,1,0
1856,Economy Class,4,4,2,3,4,4,1,1
1857,Business Class,3,5,3,3,3,3,1,1
1858,Business Class,4,4,3,4,1,3,1,0
1859,Business Class,3,5,4,3,3,3,1,1
1860,Economy Class,4,3,1,1,3,4,1,0
1861,Economy Class,1,1,1,3,3,1,1,0
1862,Economy Class,4,5,2,1,4,4,1,1
1863,Business Class,1,1,1,1,1,1,1,0
1864,Business Class,4,4,3,4,1,1,3,0
1865,Economy Class,2,4,2,3,3,3,1,0
1866,Economy Class,4,4,4,3,2,3,1,1
1867,Economy Class,4,3,3,2,3,2,1,0
1868,Economy Class,4,4,3,3,4,3,1,1
1869,Business Class,3,5,2,3,5,1,1,0
1870,Business Class,1,5,5,1,3,2,1,0
1871,Economy Class,2,5,4,3,5,5,1,1
1872,Economy Class,3,1,1,1,1,3,1,0
1873,Economy Class,5,5,5,3,4,5,1,1
1874,Business Class,1,2,2,1,2,1,1,0
1875,Economy Class,5,5,2,3,2,2,1,1
1876,Economy Class,4,3,2,3,3,3,1,0
1877,Economy Class,3,4,3,1,4,3,1,1
1878,Economy Class,4,2,1,3,3,2,1,0
1879,First Class,5,2,1,3,5,1,1,0
1880,Economy Class,1,2,1,1,2,1,1,0
1881,Economy Class,3,4,1,1,2,2,1,0
1882,Economy Class,2,2,3,4,1,3,2,0
1883,Premium Economy,5,2,3,5,1,1,2,0
1884,First Class,2,2,1,1,3,3,1,0
1885,First Class,4,4,1,3,5,1,1,0
1886,Business Class,5,4,3,4,5,4,1,1
1887,Business Class,3,3,3,1,1,1,1,0
1888,Economy Class,4,5,2,3,4,4,1,1
1889,Economy Class,3,3,1,2,3,2,1,0
1890,Economy Class,4,5,1,3,4,3,1,0
1891,Economy Class,3,3,2,3,4,5,1,1
1892,Economy Class,3,2,2,3,1,2,1,0
1893,Economy Class,3,5,5,5,3,3,1,1
1894,Business Class,1,3,3,4,3,3,1,0
1895,Economy Class,1,2,1,2,2,1,1,0
1896,Economy Class,5,5,5,3,5,5,1,1
1897,Economy Class,3,4,3,5,4,3,1,1
1898,Business Class,5,5,5,3,3,4,1,1
1899,Business Class,1,1,1,1,1,1,1,0
1900,Business Class,1,3,3,1,4,2,1,0
1901,Premium Economy,3,3,3,1,1,1,1,0
1902,Economy Class,3,4,3,3,1,1,1,0
1903,Economy Class,4,4,4,4,4,5,1,1
1904,Business Class,4,5,3,3,4,3,1,1
1905,Business Class,4,3,3,3,3,3,1,1
1906,Premium Economy,4,4,4,4,4,4,1,1
1907,First Class,3,5,1,2,4,2,1,1
1908,Business Class,4,5,3,3,3,3,1,1
1909,Business Class,5,3,4,4,3,4,1,1
1910,Business Class,4,4,4,4,4,4,4,1
1911,Economy Class,3,4,3,3,3,4,1,1
1912,Economy Class,3,3,3,3,4,4,1,1
1913,Economy Class,5,5,5,4,5,5,2,1
1914,Economy Class,4,3,3,2,1,3,1,0
1915,Business Class,3,3,3,1,2,2,1,0
1916,Premium Economy,1,1,1,1,1,1,1,0
1917,Business Class,1,2,1,3,1,1,1,0
1918,Economy Class,2,2,3,1,2,1,1,0
1919,Economy Class,1,3,4,1,3,3,1,0
1920,First Class,3,1,2,3,5,2,1,0
1921,First Class,5,5,5,5,5,5,1,1
1922,Business Class,5,5,4,5,5,5,1,1
1923,Business Class,1,3,1,3,1,1,1,0
1924,Business Class,4,5,3,5,4,3,1,1
1925,First Class,4,4,4,3,1,2,2,0
1926,Business Class,3,4,3,3,4,4,1,1
1927,Business Class,1,2,1,3,1,1,1,0
1928,Business Class,3,2,1,3,1,1,1,0
1929,Economy Class,3,3,3,2,1,1,1,0
1930,Business Class,1,3,1,3,1,1,1,0
1931,Business Class,1,4,2,3,3,1,1,0
1932,Economy Class,1,1,1,1,1,1,2,0
1933,Business Class,5,5,3,5,5,1,1,0
1934,Business Class,5,5,5,5,5,1,5,0
1935,Business Class,1,1,2,2,1,1,1,0
1936,Economy Class,4,5,5,5,4,3,4,1
1937,Economy Class,2,1,3,3,1,1,1,0
1938,Premium Economy,1,1,1,1,1,1,1,0
1939,Business Class,1,5,1,1,2,3,1,0
1940,First Class,4,5,4,5,4,4,1,1
1941,Economy Class,3,4,4,1,1,1,1,0
1942,Economy Class,4,2,1,3,1,1,1,0
1943,Economy Class,4,5,5,5,2,4,3,1
1944,Business Class,3,5,4,3,3,3,1,1
1945,Business Class,4,5,4,4,3,4,1,1
1946,Premium Economy,3,3,3,1,1,2,1,0
1947,Economy Class,3,1,1,1,1,1,1,0
1948,Economy Class,1,2,2,4,2,1,1,0
1949,First Class,4,5,4,3,1,1,1,0
1950,Economy Class,4,1,4,3,2,3,3,0
1951,Premium Economy,5,5,5,5,5,5,1,1
1952,Economy Class,4,4,3,3,5,4,1,1
1953,Economy Class,2,5,4,3,4,4,3,1
1954,Business Class,1,4,2,3,1,2,1,0
1955,Premium Economy,2,1,1,2,3,1,1,0
1956,Economy Class,2,2,2,3,3,3,1,0
1957,Economy Class,5,5,5,5,5,5,1,1
1958,First Class,4,4,2,2,1,1,3,0
1959,Economy Class,1,1,1,3,1,3,1,0
1960,Business Class,3,4,3,3,1,1,1,0
1961,Economy Class,4,3,1,3,3,3,1,1
1962,Economy Class,1,1,4,2,2,3,1,0
1963,Business Class,5,5,5,3,5,5,1,1
1964,Business Class,4,5,4,4,5,4,1,1
1965,Economy Class,1,1,1,1,1,1,1,0
1966,Premium Economy,1,2,3,3,2,2,1,0
1967,First Class,5,2,1,3,4,1,1,0
1968,Premium Economy,4,3,2,4,4,3,1,1
1969,Business Class,4,5,1,4,5,4,1,1
1970,Business Class,3,2,3,3,5,3,1,0
1971,Business Class,4,5,5,3,5,5,1,1
1972,First Class,5,4,3,5,1,3,1,0
1973,Business Class,3,5,4,2,4,3,1,1
1974,Premium Economy,4,3,3,2,1,3,1,0
1975,Economy Class,1,3,2,3,4,3,1,0
1976,First Class,5,5,4,4,5,5,1,1
1977,Economy Class,3,3,3,3,2,3,1,0
1978,First Class,3,4,4,3,1,3,1,1
1979,Economy Class,2,2,1,3,1,2,1,0
1980,Economy Class,2,2,2,1,2,3,1,0
1981,Business Class,4,3,3,3,3,3,3,0
1982,Economy Class,5,5,1,5,5,4,1,1
1983,Economy Class,3,4,1,3,1,2,1,0
1984,Economy Class,4,2,1,1,3,2,1,0
1985,Economy Class,3,4,4,3,4,4,1,1
1986,Premium Economy,5,4,4,5,3,5,1,1
1987,Economy Class,3,5,4,1,1,3,1,1
1988,Economy Class,4,4,4,4,4,4,1,1
1989,Business Class,5,5,5,5,5,4,1,1
1990,Business Class,3,3,2,2,1,1,1,0
1991,Economy Class,4,5,3,3,1,3,1,0
1992,Economy Class,3,4,4,2,3,4,1,1
1993,Economy Class,2,3,3,3,1,2,1,1
1994,Business Class,4,5,4,3,2,3,1,1
1995,Business Class,4,3,3,4,4,2,3,0
1996,Economy Class,5,5,5,3,5,5,1,1
1997,Economy Class,4,4,4,2,4,5,1,1
1998,Economy Class,1,1,3,3,1,1,1,0
1999,Economy Class,4,3,3,3,1,3,1,0
2000,Economy Class,1,1,2,4,1,1,1,0
2001,Economy Class,5,5,5,5,4,5,1,1
2002,Economy Class,4,4,3,2,5,3,1,1
2003,Business Class,4,4,3,2,4,3,1,1
2004,Economy Class,4,4,3,3,4,4,1,1
2005,Economy Class,2,4,3,3,3,2,1,0
2006,Business Class,4,4,4,2,4,4,1,1
2007,Business Class,4,5,4,3,4,4,1,1
2008,Economy Class,2,2,2,3,3,3,1,0
2009,Business Class,1,3,1,3,3,1,1,0
2010,Economy Class,2,1,1,1,3,2,1,0
2011,Economy Class,4,3,4,3,5,4,1,1
2012,Premium Economy,3,4,1,1,4,2,1,0
2013,Economy Class,4,5,4,3,4,5,1,1
2014,Economy Class,1,1,3,3,1,1,1,0
2015,Business Class,1,4,3,3,1,1,1,0
2016,Premium Economy,4,4,3,2,4,4,1,1
2017,Premium Economy,2,3,1,3,3,3,1,0
2018,Economy Class,3,2,1,1,2,1,1,0
2019,Economy Class,2,2,2,1,4,3,1,1
2020,Premium Economy,2,5,4,4,2,2,1,0
2021,Business Class,1,4,3,4,4,3,1,0
2022,Business Class,1,3,3,3,1,1,1,0
2023,Economy Class,2,3,1,2,2,3,1,0
2024,Economy Class,3,2,3,3,1,1,1,0
2025,Economy Class,4,3,3,3,1,4,1,0
2026,Economy Class,1,1,1,2,3,2,2,0
2027,Business Class,3,3,3,3,2,3,3,1
2028,Economy Class,3,3,3,3,1,3,1,0
2029,First Class,3,4,5,4,5,5,1,1
2030,Economy Class,2,4,1,2,4,4,2,0
2031,Economy Class,3,2,3,3,2,4,1,0
2032,Business Class,1,2,1,1,1,1,1,0
2033,Business Class,4,4,5,3,4,3,1,1
2034,Business Class,4,5,3,3,5,4,1,1
2035,Economy Class,3,3,3,3,3,4,1,1
2036,Economy Class,3,4,4,3,4,4,1,1
2037,Business Class,5,5,5,5,4,5,1,1
2038,Economy Class,4,3,2,3,1,3,1,0
2039,Economy Class,3,4,1,3,1,4,1,0
2040,Economy Class,1,2,1,1,2,2,1,0
2041,Business Class,4,4,2,3,1,1,1,0
2042,Premium Economy,5,4,5,4,5,4,1,1
2043,First Class,4,5,5,3,5,5,1,1
2044,Economy Class,1,2,1,3,3,2,1,0
2045,First Class,5,5,5,5,5,4,1,1
2046,Business Class,4,5,5,3,4,4,1,1
2047,Economy Class,3,2,2,2,2,2,2,0
2048,Premium Economy,3,2,2,3,3,2,1,0
2049,Economy Class,1,3,1,1,3,2,1,0
2050,First Class,5,2,2,4,1,2,1,0
2051,Business Class,3,4,2,4,2,3,2,0
2052,Economy Class,2,3,1,2,1,2,1,0
2053,Economy Class,1,3,1,3,2,1,1,0
2054,Economy Class,1,1,2,3,1,1,1,0
2055,Economy Class,3,5,5,4,5,3,1,1
2056,Business Class,4,5,4,4,4,5,1,1
2057,Business Class,4,4,4,3,3,4,1,1
2058,Economy Class,2,5,5,2,5,5,1,1
2059,Economy Class,3,4,3,3,3,5,1,1
2060,Premium Economy,4,4,3,3,3,5,1,1
2061,Business Class,5,5,5,5,5,5,1,1
2062,Premium Economy,5,5,4,2,4,5,1,1
2063,Premium Economy,5,5,4,5,4,4,1,1
2064,Economy Class,4,4,4,3,3,4,1,1
2065,Business Class,4,4,3,3,1,3,1,0
2066,Business Class,1,3,1,3,2,2,1,0
2067,Economy Class,3,1,1,3,1,3,1,1
2068,Economy Class,3,4,4,3,3,5,1,0
2069,Business Class,3,4,5,1,2,3,1,1
2070,Economy Class,4,5,5,3,4,4,1,1
2071,Economy Class,3,1,1,3,5,4,1,0
2072,Economy Class,4,5,4,3,4,4,1,1
2073,Business Class,5,5,5,5,5,4,1,1
2074,Business Class,5,5,5,5,5,5,1,1
2075,Business Class,3,5,3,3,3,2,1,1
2076,Business Class,3,4,3,3,4,3,1,1
2077,Economy Class,3,2,1,1,4,1,1,0
2078,Business Class,1,4,3,3,3,1,1,0
2079,Premium Economy,2,1,1,1,2,1,1,0
2080,Economy Class,3,5,3,3,2,4,1,1
2081,Economy Class,4,4,3,3,4,4,1,1
2082,Economy Class,3,4,3,3,4,4,1,1
2083,Economy Class,3,4,4,4,4,5,1,1
2084,Business Class,1,3,3,3,4,2,1,0
2085,Economy Class,3,5,4,4,4,4,1,1
2086,First Class,3,4,3,3,4,2,1,0
2087,Economy Class,3,4,4,2,4,4,1,1
2088,Economy Class,2,5,1,4,4,4,1,1
2089,Business Class,2,2,2,3,3,2,1,0
2090,First Class,5,5,5,5,5,5,1,1
2091,Business Class,5,5,5,3,5,5,1,1
2092,Economy Class,1,5,1,3,3,1,1,0
2093,Economy Class,4,4,2,3,4,4,1,1
2094,Economy Class,1,5,1,3,3,1,1,0
2095,Premium Economy,1,2,1,1,2,1,1,0
2096,Premium Economy,3,5,4,3,5,4,1,1
2097,Economy Class,2,4,4,5,4,3,1,1
2098,Business Class,4,5,5,3,5,5,1,1
2099,Business Class,4,5,5,3,4,5,1,1
2100,Economy Class,1,1,1,1,2,2,1,0
2101,Economy Class,5,5,5,5,5,5,1,1
2102,Premium Economy,2,3,3,2,4,3,1,1
2103,Economy Class,1,2,1,3,5,2,1,0
2104,Economy Class,4,3,3,3,3,4,1,1
2105,Business Class,4,4,3,3,4,3,1,1
2106,Economy Class,3,4,3,3,1,1,1,0
2107,Premium Economy,1,4,3,4,4,2,1,0
2108,Premium Economy,3,3,3,3,1,1,1,0
2109,Economy Class,5,5,3,3,5,3,1,1
2110,Business Class,1,2,3,3,2,1,1,0
2111,Premium Economy,5,4,5,5,4,5,1,1
2112,Economy Class,1,2,4,2,4,3,1,1
2113,First Class,5,4,3,5,3,5,1,1
2114,Business Class,2,4,4,3,1,1,1,0
2115,Premium Economy,4,4,3,4,4,3,4,1
2116,First Class,1,1,1,1,1,1,1,0
2117,Economy Class,4,5,4,4,5,5,1,1
2118,Economy Class,4,4,4,4,3,5,1,1
2119,Business Class,2,5,5,3,5,5,1,1
2120,Economy Class,1,2,2,3,3,3,1,0
2121,Business Class,3,4,2,3,4,2,1,0
2122,Economy Class,4,5,4,4,4,4,1,1
2123,Economy Class,4,5,5,3,4,5,1,1
2124,Business Class,5,5,4,4,4,4,1,1
2125,Business Class,4,5,4,4,5,4,1,1
2126,Economy Class,4,4,3,4,4,4,1,1
2127,Economy Class,4,4,3,3,4,3,1,1
2128,Economy Class,2,5,2,2,3,3,1,0
2129,Economy Class,3,5,4,4,4,5,1,1
2130,Economy Class,5,5,3,3,4,4,1,1
2131,Business Class,1,2,1,3,3,1,1,0
2132,Business Class,1,4,1,1,4,2,1,0
2133,Economy Class,5,5,3,3,1,4,1,1
2134,Premium Economy,3,2,2,1,4,1,1,0
2135,First Class,1,1,3,2,1,2,1,0
2136,Premium Economy,3,4,3,3,1,1,1,0
2137,Business Class,4,5,3,4,5,5,1,1
2138,Economy Class,4,5,3,2,2,5,1,1
2139,Premium Economy,4,1,3,3,3,3,1,0
2140,First Class,1,4,3,3,4,1,1,0
2141,Economy Class,5,5,5,3,5,5,1,1
2142,Economy Class,1,1,1,1,2,1,1,0
2143,Business Class,3,3,2,2,2,2,1,0
2144,Business Class,2,5,4,3,2,3,1,1
2145,Economy Class,5,3,3,3,3,4,1,1
2146,Business Class,3,4,3,3,3,1,1,0
2147,Business Class,2,2,2,3,4,1,1,0
2148,Economy Class,3,4,2,3,4,4,1,1
2149,Economy Class,3,3,1,2,1,1,3,0
2150,Business Class,5,5,4,3,2,5,1,1
2151,First Class,5,5,5,4,4,4,1,1
2152,Business Class,4,5,5,3,3,4,1,1
2153,Business Class,3,3,3,2,2,3,1,0
2154,Economy Class,4,4,4,3,3,4,1,1
2155,Economy Class,3,5,4,3,4,3,1,1
2156,Business Class,4,5,4,3,4,5,1,1
2157,First Class,5,5,5,5,4,4,1,1
2158,Business Class,4,4,4,3,3,4,1,1
2159,Economy Class,3,3,2,1,1,1,1,0
2160,Business Class,3,4,2,2,4,3,1,0
2161,Economy Class,4,4,5,3,1,5,1,1
2162,Economy Class,2,1,2,3,3,2,1,0
2163,Economy Class,4,5,5,3,5,5,1,1
2164,Economy Class,4,5,4,3,5,4,1,1
2165,First Class,3,4,3,4,3,3,1,0
2166,Premium Economy,1,1,3,3,1,1,1,0
2167,First Class,3,4,4,3,3,3,1,0
2168,Economy Class,3,3,4,4,4,4,1,1
2169,First Class,5,5,5,5,4,4,1,1
2170,Business Class,3,5,1,2,5,5,1,1
2171,Economy Class,2,2,1,2,1,2,1,0
2172,Economy Class,2,2,2,2,1,3,1,0
2173,Economy Class,4,4,4,3,1,4,1,0
2174,Business Class,4,5,4,3,4,4,1,1
2175,Business Class,1,1,1,1,1,1,1,0
2176,Economy Class,4,5,4,3,4,4,1,1
2177,Economy Class,3,3,2,2,5,2,1,0
2178,Business Class,3,2,2,2,1,1,1,0
2179,Economy Class,4,5,5,5,4,5,1,1
2180,Premium Economy,5,5,5,5,5,5,1,1
2181,Premium Economy,3,3,1,1,4,2,1,0
2182,Premium Economy,1,1,3,3,1,1,1,0
2183,Economy Class,5,5,4,3,2,3,1,1
2184,Economy Class,4,4,3,3,3,4,1,1
2185,Premium Economy,2,1,1,1,1,1,1,0
2186,Economy Class,2,2,1,1,3,2,1,0
2187,Economy Class,4,5,3,3,4,4,1,1
2188,Economy Class,1,5,3,3,5,3,1,0
2189,Economy Class,4,4,4,3,5,4,1,1
2190,First Class,5,4,2,3,3,2,1,0
2191,Business Class,4,3,4,4,4,4,1,1
2192,Economy Class,4,3,2,3,1,1,1,0
2193,Economy Class,4,5,5,5,4,4,1,1
2194,Economy Class,2,1,1,1,3,3,1,0
2195,Economy Class,2,1,1,1,3,2,1,0
2196,Business Class,2,3,2,3,3,3,1,1
2197,Economy Class,3,4,4,4,3,4,1,1
2198,Business Class,1,2,1,3,2,1,1,0
2199,Business Class,3,1,1,1,1,2,1,0
2200,Premium Economy,3,3,3,2,3,2,1,0
2201,Economy Class,4,4,4,3,3,5,1,1
2202,Business Class,2,2,2,4,4,4,1,0
2203,First Class,4,5,4,4,4,5,1,1
2204,First Class,1,2,3,1,2,1,1,0
2205,Premium Economy,3,3,4,4,5,4,1,1
2206,Economy Class,4,2,1,3,1,1,1,0
2207,Economy Class,3,3,2,3,2,1,1,0
2208,Economy Class,4,4,4,3,4,5,1,1
2209,Economy Class,3,5,4,1,3,4,1,0
2210,Economy Class,3,4,4,5,4,1,1,1
2211,Economy Class,5,5,4,4,5,5,1,1
2212,Economy Class,1,1,1,1,2,1,1,0
2213,Premium Economy,1,1,1,1,1,1,1,0
2214,Economy Class,1,4,1,3,3,1,1,0
2215,Economy Class,3,3,3,2,4,3,1,0
2216,Business Class,4,4,4,4,5,4,1,1
2217,Business Class,4,5,5,5,5,4,1,1
2218,Business Class,2,3,1,1,1,1,1,0
2219,Economy Class,3,3,3,3,4,2,1,1
2220,Economy Class,3,3,3,3,4,4,1,1
2221,Economy Class,2,3,1,3,4,1,1,0
2222,Economy Class,4,5,5,4,4,5,1,1
2223,Economy Class,3,1,3,1,3,3,1,0
2224,Economy Class,4,4,3,3,1,1,1,0
2225,Business Class,4,4,3,1,3,2,1,0
2226,Premium Economy,4,2,1,1,3,2,1,0
2227,Premium Economy,1,3,3,1,2,2,1,0
2228,Economy Class,2,4,3,2,1,2,1,0
2229,Economy Class,1,1,2,1,3,1,1,0
2230,Business Class,5,5,5,4,4,5,1,1
2231,Economy Class,4,5,4,3,5,5,1,1
2232,Economy Class,1,4,3,1,2,1,1,0
2233,Economy Class,3,4,3,3,1,1,1,0
2234,First Class,4,2,2,1,1,2,1,0
2235,Economy Class,4,5,4,3,4,4,1,1
2236,Business Class,5,5,5,3,5,5,1,1
2237,Economy Class,5,5,2,5,4,4,1,1
2238,Economy Class,4,1,3,4,4,4,1,1
2239,Business Class,2,4,3,2,2,3,1,0
2240,Business Class,4,5,5,3,5,5,1,1
2241,Economy Class,2,1,1,3,2,1,1,0
2242,Business Class,5,5,5,3,5,5,1,1
2243,Business Class,3,3,2,2,3,1,1,0
2244,Premium Economy,3,2,2,1,2,1,1,0
2245,Business Class,5,5,5,5,5,5,5,1
2246,Economy Class,4,5,3,3,5,5,1,1
2247,Business Class,4,5,5,4,5,5,1,1
2248,Business Class,2,5,5,3,1,4,1,1
2249,Economy Class,4,5,4,5,5,5,1,1
2250,Premium Economy,3,3,2,3,1,1,1,0
2251,Economy Class,2,1,1,3,1,1,1,0
2252,Economy Class,3,1,1,1,3,2,1,0
2253,Economy Class,5,5,5,5,5,5,1,1
2254,Economy Class,5,5,5,3,5,5,1,1
2255,Premium Economy,4,3,3,4,2,4,1,1
2256,Economy Class,2,3,5,2,5,3,1,1
2257,Business Class,5,5,5,4,5,5,1,1
2258,Business Class,5,5,5,3,4,4,1,1
2259,First Class,5,4,2,2,2,1,1,0
2260,Business Class,5,5,5,4,5,5,1,1
2261,Economy Class,3,4,4,4,4,4,1,1
2262,Economy Class,4,5,5,4,5,4,1,1
2263,Economy Class,1,4,1,3,3,1,1,0
2264,Economy Class,3,3,2,3,3,3,1,1
2265,Premium Economy,4,4,3,3,4,3,1,1
2266,First Class,3,4,2,2,4,3,1,1
2267,First Class,3,5,2,1,1,1,1,0
2268,Business Class,4,4,3,2,3,4,1,1
2269,Premium Economy,4,3,3,2,3,3,1,1
2270,Economy Class,1,4,1,3,1,1,1,0
2271,Economy Class,2,3,3,4,4,3,1,1
2272,Economy Class,4,3,1,1,1,1,1,0
2273,Premium Economy,3,2,2,2,3,3,1,0
2274,Economy Class,1,4,4,4,3,4,1,1
2275,Economy Class,3,5,5,4,5,5,1,1
2276,Economy Class,5,5,4,3,4,4,1,1
2277,Business Class,1,4,1,3,2,1,1,0
2278,Economy Class,2,2,1,2,3,2,1,0
2279,Premium Economy,2,1,3,1,2,2,1,0
2280,Premium Economy,2,4,2,2,3,3,1,0
2281,Economy Class,3,1,1,2,4,4,1,1
2282,Economy Class,3,5,4,3,1,2,1,0
2283,Business Class,4,2,2,3,3,2,1,0
2284,Economy Class,1,2,1,3,1,3,1,0
2285,First Class,5,5,5,5,5,5,1,1
2286,Business Class,2,5,4,3,2,3,1,1
2287,Premium Economy,4,5,4,5,4,4,1,1
2288,Economy Class,3,4,5,5,2,3,1,1
2289,Premium Economy,4,5,5,4,3,5,1,1
