,Date Flown,Aircraft,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
221,November 2021,A320,Business,Business Class,3,4,4,NaN,1,3,NaN,no
222,November 2021,NaN,Business,Business Class,1,NaN,NaN,NaN,1,2,NaN,no
223,November 2021,A321 neo,Solo Leisure,Business Class,3,2,3,NaN,4,2,NaN,no
224,November 2021,A321 neo,Solo Leisure,Business Class,4,5,5,NaN,4,4,NaN,yes
225,November 2021,A320,Solo Leisure,Economy Class,1,5,1,NaN,1,2,NaN,no
226,November 2021,NaN,Business,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
227,November 2021,A320neo,Couple Leisure,Business Class,3,3,1,NaN,2,1,NaN,no
228,November 2021,A320 Neo,Couple Leisure,Business Class,2,5,3,NaN,3,3,NaN,yes
229,November 2021,NaN,Solo Leisure,Economy Class,1,2,2,2,1,1,2,no
230,October 2021,NaN,Solo Leisure,Economy Class,2,3,2,5,2,2,NaN,no
231,October 2021,Boeing 777,Couple Leisure,Economy Class,2,2,2,2,1,1,1,no
232,November 2021,NaN,Family Leisure,Economy Class,3,2,2,3,2,3,NaN,no
233,November 2021,NaN,Solo Leisure,Premium Economy,4,4,NaN,NaN,1,3,NaN,no
234,November 2021,A321,Business,Economy Class,4,5,4,NaN,4,4,NaN,yes
235,October 2021,A321,Family Leisure,Business Class,2,4,2,NaN,3,3,3,yes
236,September 2021,A320,Couple Leisure,Business Class,4,4,4,NaN,5,4,NaN,yes
237,October 2021,Boeing 787,Couple Leisure,Premium Economy,4,5,5,4,3,5,NaN,yes
238,October 2021,A320NEO,Family Leisure,Economy Class,5,5,3,NaN,2,4,NaN,yes
239,October 2021,A321 Neo,Business,Economy Class,1,4,4,NaN,4,5,NaN,yes
240,October 2021,A321,Family Leisure,Business Class,3,5,3,2,4,4,2,yes
241,October 2021,A320,Business,Economy Class,4,5,NaN,NaN,1,1,NaN,no
242,October 2021,NaN,Couple Leisure,Economy Class,5,5,5,5,5,5,5,yes
243,October 2021,NaN,Solo Leisure,Premium Economy,3,3,4,4,4,4,NaN,yes
244,October 2021,A350,Business,Business Class,5,5,5,5,5,5,5,yes
245,September 2021,NaN,Solo Leisure,Business Class,2,4,4,3,4,1,4,no
246,November 2020,NaN,Solo Leisure,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
247,October 2021,A320,Family Leisure,Economy Class,1,1,1,NaN,1,2,NaN,no
248,October 2021,A321,Couple Leisure,Business Class,3,4,3,NaN,4,4,3,yes
249,August 2021,NaN,Couple Leisure,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
250,September 2021,NaN,Business,Business Class,2,1,NaN,NaN,1,1,NaN,no
251,October 2021,NaN,Solo Leisure,Premium Economy,5,5,NaN,NaN,5,5,NaN,yes
252,September 2021,A321,Business,Economy Class,4,3,3,NaN,4,5,NaN,yes
